race_name,ppt_gender,distance_miles,date,med_time
"""Dig Your Grave"" Trail Marathon 42KM",F,26.0,2020-08-15,6.975228472222222
"""Dig Your Grave"" Trail Marathon 42KM",F,26.0,2022-07-30,6.086388888888888
"""Dig Your Grave"" Trail Marathon 42KM",F,26.0,2023-07-29,7.101111111111111
"""Dig Your Grave"" Trail Marathon 42KM",M,26.0,2020-08-15,6.0066652777777785
"""Dig Your Grave"" Trail Marathon 42KM",M,26.0,2022-07-30,7.323611111111111
"""Dig Your Grave"" Trail Marathon 42KM",M,26.0,2023-07-29,6.461250000000001
"""Dig Your Grave"" Trail Marathon 42KM",M,62.14,2019-08-10,14.241666666666667
1/2 Sauer 1/2 Kraut,F,13.1,2022-06-11,2.2224999999999997
1/2 Sauer 1/2 Kraut,F,13.1,2023-06-10,2.266111111111111
1/2 Sauer 1/2 Kraut,F,26.2,2022-06-11,4.6658333333333335
1/2 Sauer 1/2 Kraut,F,26.2,2023-06-10,4.942777777777778
1/2 Sauer 1/2 Kraut,M,13.1,2022-06-11,2.0881944444444445
1/2 Sauer 1/2 Kraut,M,13.1,2023-06-10,2.1031944444444446
1/2 Sauer 1/2 Kraut,M,26.2,2022-06-11,4.333333333333333
1/2 Sauer 1/2 Kraut,M,26.2,2023-06-10,4.565833333333333
1776 Merica,F,7.4,2022-07-04,1.8513888888888885
1776 Merica,F,7.4,2023-07-04,1.4243055555555555
1776 Merica,F,17.76,2023-07-04,3.5608333333333335
1776 Merica,M,7.4,2022-07-04,1.2686111111111111
1776 Merica,M,7.4,2023-07-04,1.3525
1776 Merica,M,17.76,2023-07-04,3.3495833333333334
47th Healdsburg Kiwanis Fitch Mountain Footrace,F,1.86,2022-06-19,0.44527777777777783
47th Healdsburg Kiwanis Fitch Mountain Footrace,F,1.86,2023-06-18,0.3958333333333333
47th Healdsburg Kiwanis Fitch Mountain Footrace,F,6.21,2022-06-19,0.9086111111111111
47th Healdsburg Kiwanis Fitch Mountain Footrace,F,6.21,2023-06-18,1.0962500000000002
47th Healdsburg Kiwanis Fitch Mountain Footrace,M,1.86,2022-06-19,0.3852777777777778
47th Healdsburg Kiwanis Fitch Mountain Footrace,M,1.86,2023-06-18,0.34138888888888885
47th Healdsburg Kiwanis Fitch Mountain Footrace,M,6.21,2022-06-19,0.8527777777777776
47th Healdsburg Kiwanis Fitch Mountain Footrace,M,6.21,2023-06-18,1.0080555555555555
7 Sisters Trail Race,F,12.0,2019-05-04,3.708611111111111
7 Sisters Trail Race,F,12.0,2022-05-07,3.8061111111111114
7 Sisters Trail Race,F,12.0,2023-05-06,3.8202777777777777
7 Sisters Trail Race,M,12.0,2019-05-04,3.0644444444444447
7 Sisters Trail Race,M,12.0,2022-05-07,3.091666666666667
7 Sisters Trail Race,M,12.0,2023-05-06,3.316527777777778
Adrenaline Night Runs,F,3.73,2019-05-18,0.8916666666666667
Adrenaline Night Runs,F,3.73,2021-05-22,0.8386111111111112
Adrenaline Night Runs,F,3.73,2022-05-21,0.9536111111111112
Adrenaline Night Runs,F,3.73,2023-05-20,1.01
Adrenaline Night Runs,F,6.21,2019-05-18,1.1838888888888888
Adrenaline Night Runs,F,6.21,2021-05-22,1.1880555555555554
Adrenaline Night Runs,F,6.21,2022-05-21,1.2275
Adrenaline Night Runs,F,6.21,2023-05-20,1.222222222222222
Adrenaline Night Runs,F,9.32,2019-05-18,1.9670833333333335
Adrenaline Night Runs,F,9.32,2021-05-22,1.8220833333333333
Adrenaline Night Runs,F,9.32,2022-05-21,1.9408333333333334
Adrenaline Night Runs,F,9.32,2023-05-20,1.9391666666666665
Adrenaline Night Runs,F,15.53,2019-05-18,3.1313888888888886
Adrenaline Night Runs,F,15.53,2021-05-22,3.0543055555555556
Adrenaline Night Runs,F,15.53,2022-05-21,3.290138888888889
Adrenaline Night Runs,F,15.53,2023-05-20,3.190138888888889
Adrenaline Night Runs,F,31.07,2019-05-18,6.301111111111111
Adrenaline Night Runs,F,31.07,2021-05-22,7.783333333333333
Adrenaline Night Runs,F,31.07,2022-05-21,6.3909722222222225
Adrenaline Night Runs,F,31.07,2023-05-20,6.838611111111111
Adrenaline Night Runs,M,3.73,2019-05-18,0.6722222222222223
Adrenaline Night Runs,M,3.73,2021-05-22,0.7072222222222222
Adrenaline Night Runs,M,3.73,2022-05-21,0.7368055555555555
Adrenaline Night Runs,M,3.73,2023-05-20,0.8208333333333333
Adrenaline Night Runs,M,6.21,2019-05-18,1.04625
Adrenaline Night Runs,M,6.21,2021-05-22,1.0272222222222223
Adrenaline Night Runs,M,6.21,2022-05-21,1.0747222222222221
Adrenaline Night Runs,M,6.21,2023-05-20,0.9851388888888888
Adrenaline Night Runs,M,9.32,2019-05-18,1.55875
Adrenaline Night Runs,M,9.32,2021-05-22,1.549722222222222
Adrenaline Night Runs,M,9.32,2022-05-21,1.6736111111111114
Adrenaline Night Runs,M,9.32,2023-05-20,1.7923611111111115
Adrenaline Night Runs,M,15.53,2019-05-18,2.493333333333333
Adrenaline Night Runs,M,15.53,2021-05-22,2.614166666666667
Adrenaline Night Runs,M,15.53,2022-05-21,2.7155555555555555
Adrenaline Night Runs,M,15.53,2023-05-20,2.8762499999999998
Adrenaline Night Runs,M,31.07,2019-05-18,6.5633333333333335
Adrenaline Night Runs,M,31.07,2021-05-22,6.495416666666667
Adrenaline Night Runs,M,31.07,2022-05-21,6.97638888888889
Adrenaline Night Runs,M,31.07,2023-05-20,6.765416666666667
Afton Trail Run,F,15.53,2019-07-06,3.2972222222222216
Afton Trail Run,F,15.53,2021-07-02,3.2273611111111107
Afton Trail Run,F,15.53,2022-07-02,3.218888888888889
Afton Trail Run,F,15.53,2023-07-01,3.341666666666667
Afton Trail Run,F,31.07,2019-07-06,6.821944444444444
Afton Trail Run,F,31.07,2021-07-02,6.939722222222222
Afton Trail Run,F,31.07,2022-07-02,6.545
Afton Trail Run,F,31.07,2023-07-01,6.595833333333333
Afton Trail Run,M,15.53,2019-07-06,2.902222222222222
Afton Trail Run,M,15.53,2021-07-02,2.837222222222222
Afton Trail Run,M,15.53,2022-07-02,2.835694444444444
Afton Trail Run,M,15.53,2023-07-01,2.939722222222222
Afton Trail Run,M,31.07,2019-07-06,6.367638888888888
Afton Trail Run,M,31.07,2021-07-02,6.162638888888889
Afton Trail Run,M,31.07,2022-07-02,5.976388888888889
Afton Trail Run,M,31.07,2023-07-01,6.352777777777778
Alphabet Soup Race,F,4.35,2021-08-14,1.5166666666666666
Alphabet Soup Race,F,4.35,2022-07-30,0.9369444444444445
Alphabet Soup Race,F,4.35,2023-07-29,0.9238888888888889
Alphabet Soup Race,M,4.35,2021-08-14,0.9883333333333333
Alphabet Soup Race,M,4.35,2022-07-30,0.8251388888888889
Alphabet Soup Race,M,4.35,2023-07-29,1.1216666666666666
Asphalt Jackal Marathon,F,13.1,2020-10-26,2.7083333333333335
Asphalt Jackal Marathon,F,13.1,2021-06-28,3.8958333333333335
Asphalt Jackal Marathon,F,13.1,2022-06-20,2.531111111111111
Asphalt Jackal Marathon,F,26.2,2019-06-17,5.81375
Asphalt Jackal Marathon,F,26.2,2020-10-26,4.433194444444444
