race_name,ppt_gender,distance_miles,date,min_time
"""Dig Your Grave"" Trail Marathon 42KM",F,26.0,2020-08-15,334.75215
"""Dig Your Grave"" Trail Marathon 42KM",F,26.0,2022-07-30,309.73333333333335
"""Dig Your Grave"" Trail Marathon 42KM",F,26.0,2023-07-29,349.18333333333334
"""Dig Your Grave"" Trail Marathon 42KM",M,26.0,2020-08-15,254.12086666666667
"""Dig Your Grave"" Trail Marathon 42KM",M,26.0,2022-07-30,290.03333333333336
"""Dig Your Grave"" Trail Marathon 42KM",M,26.0,2023-07-29,277.98333333333335
"""Dig Your Grave"" Trail Marathon 42KM",M,62.14,2019-08-10,746.5
1/2 Sauer 1/2 Kraut,F,13.1,2022-06-11,98.7
1/2 Sauer 1/2 Kraut,F,13.1,2023-06-10,98.13333333333334
1/2 Sauer 1/2 Kraut,F,26.2,2022-06-11,223.66666666666666
1/2 Sauer 1/2 Kraut,F,26.2,2023-06-10,206.51666666666668
1/2 Sauer 1/2 Kraut,M,13.1,2022-06-11,85.18333333333334
1/2 Sauer 1/2 Kraut,M,13.1,2023-06-10,78.31666666666666
1/2 Sauer 1/2 Kraut,M,26.2,2022-06-11,186.86666666666667
1/2 Sauer 1/2 Kraut,M,26.2,2023-06-10,158.46666666666667
1776 Merica,F,7.4,2022-07-04,111.08333333333333
1776 Merica,F,7.4,2023-07-04,59.916666666666664
1776 Merica,F,17.76,2023-07-04,139.56666666666666
1776 Merica,M,7.4,2022-07-04,72.56666666666666
1776 Merica,M,7.4,2023-07-04,69.2
1776 Merica,M,17.76,2023-07-04,138.16666666666666
47th Healdsburg Kiwanis Fitch Mountain Footrace,F,1.86,2022-06-19,15.4
47th Healdsburg Kiwanis Fitch Mountain Footrace,F,1.86,2023-06-18,15.1
47th Healdsburg Kiwanis Fitch Mountain Footrace,F,6.21,2022-06-19,46.583333333333336
47th Healdsburg Kiwanis Fitch Mountain Footrace,F,6.21,2023-06-18,45.05
47th Healdsburg Kiwanis Fitch Mountain Footrace,M,1.86,2022-06-19,11.4
47th Healdsburg Kiwanis Fitch Mountain Footrace,M,1.86,2023-06-18,15.083333333333334
47th Healdsburg Kiwanis Fitch Mountain Footrace,M,6.21,2022-06-19,35.333333333333336
47th Healdsburg Kiwanis Fitch Mountain Footrace,M,6.21,2023-06-18,37.35
7 Sisters Trail Race,F,12.0,2019-05-04,137.68333333333334
7 Sisters Trail Race,F,12.0,2022-05-07,135.13333333333333
7 Sisters Trail Race,F,12.0,2023-05-06,129.31666666666666
7 Sisters Trail Race,M,12.0,2019-05-04,107.55
7 Sisters Trail Race,M,12.0,2022-05-07,105.06666666666666
7 Sisters Trail Race,M,12.0,2023-05-06,113.81666666666666
Adrenaline Night Runs,F,3.73,2019-05-18,33.53333333333333
Adrenaline Night Runs,F,3.73,2021-05-22,34.166666666666664
Adrenaline Night Runs,F,3.73,2022-05-21,36.38333333333333
Adrenaline Night Runs,F,3.73,2023-05-20,32.95
Adrenaline Night Runs,F,6.21,2019-05-18,49.5
Adrenaline Night Runs,F,6.21,2021-05-22,41.05
Adrenaline Night Runs,F,6.21,2022-05-21,52.36666666666667
Adrenaline Night Runs,F,6.21,2023-05-20,51.53333333333333
Adrenaline Night Runs,F,9.32,2019-05-18,82.75
Adrenaline Night Runs,F,9.32,2021-05-22,65.45
Adrenaline Night Runs,F,9.32,2022-05-21,76.56666666666666
Adrenaline Night Runs,F,9.32,2023-05-20,69.3
Adrenaline Night Runs,F,15.53,2019-05-18,139.28333333333333
Adrenaline Night Runs,F,15.53,2021-05-22,142.0
Adrenaline Night Runs,F,15.53,2022-05-21,114.6
Adrenaline Night Runs,F,15.53,2023-05-20,121.1
Adrenaline Night Runs,F,31.07,2019-05-18,335.51666666666665
Adrenaline Night Runs,F,31.07,2021-05-22,299.55
Adrenaline Night Runs,F,31.07,2022-05-21,329.23333333333335
Adrenaline Night Runs,F,31.07,2023-05-20,304.3833333333333
Adrenaline Night Runs,M,3.73,2019-05-18,28.8
Adrenaline Night Runs,M,3.73,2021-05-22,27.883333333333333
Adrenaline Night Runs,M,3.73,2022-05-21,27.333333333333332
Adrenaline Night Runs,M,3.73,2023-05-20,30.8
Adrenaline Night Runs,M,6.21,2019-05-18,40.78333333333333
Adrenaline Night Runs,M,6.21,2021-05-22,40.86666666666667
Adrenaline Night Runs,M,6.21,2022-05-21,40.266666666666666
Adrenaline Night Runs,M,6.21,2023-05-20,39.55
Adrenaline Night Runs,M,9.32,2019-05-18,69.95
Adrenaline Night Runs,M,9.32,2021-05-22,61.75
Adrenaline Night Runs,M,9.32,2022-05-21,67.35
Adrenaline Night Runs,M,9.32,2023-05-20,71.05
Adrenaline Night Runs,M,15.53,2019-05-18,95.75
Adrenaline Night Runs,M,15.53,2021-05-22,119.21666666666667
Adrenaline Night Runs,M,15.53,2022-05-21,109.55
Adrenaline Night Runs,M,15.53,2023-05-20,100.95
Adrenaline Night Runs,M,31.07,2019-05-18,290.21666666666664
Adrenaline Night Runs,M,31.07,2021-05-22,238.75
Adrenaline Night Runs,M,31.07,2022-05-21,280.06666666666666
Adrenaline Night Runs,M,31.07,2023-05-20,272.96666666666664
Afton Trail Run,F,15.53,2019-07-06,112.86666666666666
Afton Trail Run,F,15.53,2021-07-02,124.43333333333334
Afton Trail Run,F,15.53,2022-07-02,122.08333333333333
Afton Trail Run,F,15.53,2023-07-01,129.76666666666668
Afton Trail Run,F,31.07,2019-07-06,301.5833333333333
Afton Trail Run,F,31.07,2021-07-02,288.15
Afton Trail Run,F,31.07,2022-07-02,300.5833333333333
Afton Trail Run,F,31.07,2023-07-01,276.1166666666667
Afton Trail Run,M,15.53,2019-07-06,99.88333333333334
Afton Trail Run,M,15.53,2021-07-02,101.68333333333334
Afton Trail Run,M,15.53,2022-07-02,91.31666666666666
Afton Trail Run,M,15.53,2023-07-01,91.85
Afton Trail Run,M,31.07,2019-07-06,231.23333333333332
Afton Trail Run,M,31.07,2021-07-02,265.5
Afton Trail Run,M,31.07,2022-07-02,241.28333333333333
Afton Trail Run,M,31.07,2023-07-01,219.01666666666668
Alphabet Soup Race,F,4.35,2021-08-14,91.0
Alphabet Soup Race,F,4.35,2022-07-30,33.21666666666667
Alphabet Soup Race,F,4.35,2023-07-29,32.88333333333333
Alphabet Soup Race,M,4.35,2021-08-14,59.3
Alphabet Soup Race,M,4.35,2022-07-30,31.85
Alphabet Soup Race,M,4.35,2023-07-29,31.033333333333335
Asphalt Jackal Marathon,F,13.1,2020-10-26,162.5
Asphalt Jackal Marathon,F,13.1,2021-06-28,182.08333333333334
Asphalt Jackal Marathon,F,13.1,2022-06-20,127.66666666666667
Asphalt Jackal Marathon,F,26.2,2019-06-17,242.53333333333333
Asphalt Jackal Marathon,F,26.2,2020-10-26,207.78333333333333
Asphalt Jackal Marathon,F,26.2,2021-06-28,247.43333333333334
Asphalt Jackal Marathon,F,26.2,2022-06-20,247.51666666666668
Asphalt Jackal Marathon,F,26.2,2023-06-19,236.95
Asphalt Jackal Marathon,M,13.1,2021-06-28,122.2
Asphalt Jackal Marathon,M,13.1,2022-06-20,143.23333333333332
Asphalt Jackal Marathon,M,26.2,2019-06-17,219.0
Asphalt Jackal Marathon,M,26.2,2020-10-26,193.16666666666666
Asphalt Jackal Marathon,M,26.2,2021-06-28,277.98333333333335
Asphalt Jackal Marathon,M,26.2,2022-06-20,242.0
Asphalt Jackal Marathon,M,26.2,2023-06-19,202.8
Badder Marsh Night Ultra 50K,F,3.11,2019-06-15,25.983333333333334
Badder Marsh Night Ultra 50K,F,15.53,2019-06-15,141.58333333333334
Badder Marsh Night Ultra 50K,F,15.53,2022-06-25,141.73531666666668
Badder Marsh Night Ultra 50K,F,15.53,2023-06-24,139.84581666666668
Badder Marsh Night Ultra 50K,F,31.07,2019-06-15,280.6666666666667
Badder Marsh Night Ultra 50K,F,31.07,2022-06-25,283.8268166666667
Badder Marsh Night Ultra 50K,F,31.07,2023-06-24,331.22245
Badder Marsh Night Ultra 50K,M,3.11,2019-06-15,33.56666666666667
Badder Marsh Night Ultra 50K,M,15.53,2019-06-15,124.16666666666667
Badder Marsh Night Ultra 50K,M,15.53,2022-06-25,138.07845
Badder Marsh Night Ultra 50K,M,15.53,2023-06-24,134.29941666666667
Badder Marsh Night Ultra 50K,M,31.07,2019-06-15,288.96666666666664
Badder Marsh Night Ultra 50K,M,31.07,2022-06-25,294.02101666666664
Badder Marsh Night Ultra 50K,M,31.07,2023-06-24,312.64455
Badwater 135,F,135.0,2019-07-15,1453.4
Badwater 135,F,135.0,2021-07-19,1848.7833333333333
Badwater 135,F,135.0,2022-07-11,1449.5666666666666
Badwater 135,F,135.0,2023-07-04,1304.5833333333333
Badwater 135,M,135.0,2019-07-15,1293.0166666666667
Badwater 135,M,135.0,2021-07-19,1550.3833333333334
Badwater 135,M,135.0,2022-07-11,1388.3333333333333
Badwater 135,M,135.0,2023-07-04,1348.1333333333334
Bears Ears Ultra,F,18.64,2020-06-27,159.16666666666666
Bears Ears Ultra,F,18.64,2021-06-26,174.46666666666667
Bears Ears Ultra,F,18.64,2022-06-25,192.98333333333332
Bears Ears Ultra,F,18.64,2023-06-24,161.01666666666668
Bears Ears Ultra,F,31.07,2020-06-27,361.9166666666667
Bears Ears Ultra,F,31.07,2021-06-26,365.56666666666666
Bears Ears Ultra,F,31.07,2022-06-25,406.98333333333335
Bears Ears Ultra,F,31.07,2023-06-24,325.46666666666664
Bears Ears Ultra,F,50.0,2021-06-26,591.85
Bears Ears Ultra,F,50.0,2022-06-25,642.6333333333333
Bears Ears Ultra,F,50.0,2023-06-24,683.2
Bears Ears Ultra,M,18.64,2020-06-27,137.85
Bears Ears Ultra,M,18.64,2021-06-26,144.66666666666666
Bears Ears Ultra,M,18.64,2022-06-25,146.83333333333334
Bears Ears Ultra,M,18.64,2023-06-24,151.71666666666667
Bears Ears Ultra,M,31.07,2020-06-27,291.46666666666664
Bears Ears Ultra,M,31.07,2021-06-26,313.18333333333334
Bears Ears Ultra,M,31.07,2022-06-25,314.35
Bears Ears Ultra,M,31.07,2023-06-24,276.93333333333334
Bears Ears Ultra,M,50.0,2021-06-26,577.4
Bears Ears Ultra,M,50.0,2022-06-25,532.4833333333333
Bears Ears Ultra,M,50.0,2023-06-24,615.6
Bee-utiful Sunflower Run,F,3.11,2022-05-15,22.533333333333335
Bee-utiful Sunflower Run,F,3.11,2023-05-14,24.95
Bee-utiful Sunflower Run,F,6.21,2022-05-15,50.21666666666667
Bee-utiful Sunflower Run,F,6.21,2023-05-14,43.28333333333333
